Admission_ID,Admission_Type,Student_ID,Admission_Date
63,regular,1,23/07/2022
70,regular,2,30/06/2022
40,regular,3,25/03/2022
30,financial aid,4,22/03/2022
79,regular,5,08/04/2022
85,financial_aid,6,30/05/2022
19,regular,7,15/12/2021
11,regular,8,24/07/2022
14,regular,9,20/08/2022
53,regular,10,26/03/2022
45,regular,11,21/04/2022
88,regular,12,16/07/2022
97,regular,13,11/08/2022
20,regular,14,15/06/2022
67,regular,15,29/07/2022
78,financial_aid,16,04/07/2022
66,regular,17,16/05/2022
93,regular,18,04/11/2021
95,regular,19,24/01/2022
57,regular,20,26/12/2021
38,regular,21,13/08/2022
72,regular,22,23/03/2022
4,regular,23,20/11/2021
59,regular,24,21/07/2022
29,regular,25,23/06/2022
98,financial_aid,26,12/06/2022
13,regular,27,01/08/2022
27,regular,28,06/06/2022
80,regular,29,11/11/2021
33,regular,30,13/03/2022
